id,name,description,lon,lat
686,食溫酵研 TCS SCIFERLAB,「時間」和「溫度」的發酵魔法,120.282555,22.628268
685,不老食光 / 不老夢想125號,宮原眼科主人宅邸中的不老夢想,120.687036,24.148752
684,穀臼那哪手工麵包,部落食材與歐式麵包的完美融合,120.966683,22.53159
683,丘山茶,感受分享茶的溫馨,120.700165,23.941895
682,一新社區/吟詩企業有限公司/吟詩綠曲休閒農場/好茭情,與社區共榮的埔里農場,120.932246,24.010521
681,小川埔里環保酵素園區,自然農耕理念的綠色餐廳,120.993813,23.97834
680,山中小廚房,埔里在地風味餐桌,120.9657,23.967368
679,蘿藍烘焙,傳遞幸福的草屯麵包烘焙坊,120.683738,23.962755
678,集元果,結合食農教育的集集山蕉綠色餐廳,120.814038,23.825177
675,京蘭茶事,台東在地小農的家庭小料理,121.090689,22.77602
674,土鍋飯糰 火炎山,新竹友善在地食材的土鍋飯糰,120.994404,24.792888
672,小間書菜,深溝村的複合式書屋,121.71758,24.721911
670,榷谷,台東家鄉味的私廚料理,121.214182,23.124188
669,閎美小舖/綠島花生豆花,綠島自耕食材的豆花店,121.468422,22.669279
666,種素Zone Su,用蔬食種下綠色種子,120.198323,22.996436
665,艾蘭哥爾藝文咖啡,大武山下自然農法咖啡,121.150269,22.764141
664,慢午廚房X野食,受玉山看顧的綠色餐廳,120.884104,23.598598
663,玫來晏趣製麵小農農莊,藏身幽靜農莊的日曬製麵廠,120.530009,22.550925
662,蘇珊喝茶,照顧老屋的藝文茶藝空間,120.539056,22.550724
661,幸福甜舖,駐點在農會的麵包舖,120.541372,22.903093
660,巧本味蔬食人文料理,巧妙運用食材本來的味道,121.218768,23.124017
659,通霄一心素食,媽祖婆指定的素食餐廳,120.663281,24.461174
658,甜聿家米甜品,一起把土地吃回來,121.608346,23.980808
657,FIRNS,Inspired by FERN,120.65617,24.156541
656,Vast Cali Eatery / VCE 南加州風格有機餐飲,VAST旗下餐飲品牌,121.551536,25.043967
655,挑食的茄子,將在地果實的味道，好好保存下來,121.508945,25.118683
653,復興Dipit部落,不菸不酒不檳榔的阿美部落,121.533998,23.661426
652,Bonbons法式甜食工作室,透過「品嚐」來認識苗栗,120.817685,24.552862
651,雙峰草堂銅鑼燒專賣店,在銅鑼賣銅鑼燒,120.79629660833,24.47382189728
647,拾間文化,在山海之間，拾起生活，也拾起自己,120.46311365342,23.485254101596
648,The Kinfolk 餐桌,潮州最潮義式綠餐,120.54166,22.542466
644,Jun's kombucha 究室康普茶,一喝就停不下來的發酵茶,120.56890691437,24.243909947259
643,食夢 Snoreatery,以全植物性飲食為健康與快樂加分,121.54083165585,25.042145404812
642,河沏,在河畔用食物連結人心與自然,121.76184252177,25.132768475472
641,雙口呂文化廚房,三合院米食體驗：從製粿到節慶故事,121.26503039806,24.895981345879
640,山禾苑｜Yard Sunrise,百年三合院裡由四季食材編織成的美味,121.536694,25.102841
305,【雲林．麥寮】晁陽綠能休閒農場,從綠能帶動食農的幸福體驗,120.29641441534,23.752148108814
639,花囍烘焙坊,一個身心可以安頓落腳的家,120.53977338466,23.697388680112
638,夏卡爾,以生態之名代表對島嶼的心願,121.49783,22.64656
490,仙湖休閒農場,找一隅，享一刻山間。,120.49602974888,23.270487990691
489,仕合廖家 手作御食,人與人之間交流所延伸出的幸福感,120.681044,23.979812
488,淺山綠,多以植物與自然為主題選書的合院小書店,120.70914936931,24.393267467518
487,台北君悅酒店-茶苑,多種茶飲、咖啡、各式飲品與自助式美饌,121.56320966137,25.035724665921
484,EMBERS,品嚐融合台灣地域、人文、風土、食材之精緻料理與體驗。,121.55021613069,25.036778167467
483,D-GI Rose Kitchen,健康低醣飲食理念分享,121.02638091534,24.822594170837
482,香荷手工鹽鹵豆腐,多一點的豆腐人生,120.65823675397,24.148825434804
422,Fifteen 拾吾純植西餐廳,以純植料理時刻收拾整理自己的內心,121.01893711535,24.816548037025
481,蕃薯藤自然食堂－台北植物園店,擁有自家農場新鮮直送的有機Buffet,121.51246174603,25.032615012706
480,TINA麵包咖啡 - 新北林口店,擁有自家農場新鮮直送的有機美食,121.36765356931,25.075333821388
479,野狼媽媽無毒無塑商店,支持無塑、綠餐、在地農友,120.32783088466,22.617960799717
478,德森有機農莊,欣賞六十石山美麗的風光 ，也能品嘗到最自然、健康的有機蔬菜。,121.30721474444,23.218700634158
477,白沙35民宿,料理中有著主人從土地到餐桌的鮮甜活力香草植物、生菜與水果，隨時間醱酵醞釀的料理。,120.71628256138,21.93792024637
476,小農餐桌,盼用料理守護山村保種人，用食農互相串連城鄉照顧,120.62374851534,22.70699363114
475,小轉角Artdecorner,延續簡單樸實的價值， 創造身心自在的空間,120.21350202751,22.987854479109
470,釀善三津制麵-愛聚所概念店,看見更多人笑容的願景,120.571908,23.96007
469,MD創作料理,推動臺灣在地物產的永續理念,121.54416643862,25.018549764171
468,BAA - Veg Indian Cuisine,以謙卑謙虛的態度呈現印度家鄉的手作料理味道與溫度,120.67636843069,24.138748660877
459,阿樂樂代Aredetay,跟著季節變換的歲時節令一起呼吸，跟著土地給予的豐饒韻律起舞。,121.45505767301,23.662538931035
457,禾口丘,將海岸淺山丘陵裡的咖啡廳，變成里山的守護者。,121.76521786931,25.163103250415
456,烏尼囊多元文化工作坊,把滿滿的布農滋味收攏在此。,121.11382273069,22.93412269251
455,Luma Café,Luma café，讓溫暖如家的美味，點亮長濱。,121.45415393809,23.31697708397
454,Sinasera 24,讓食客在一年 24 個節氣裡感受台東這片土地的風情。,121.42481332116,23.278067207831
453, 樂品喜塘咖啡,期許樂品喜塘能讓遊客在旅程的回憶中多一份回味,121.76363455397,25.162524395894
452,盒盒 BOX BOX,綠色地球「盒」您一起,121.62877631409,25.067927742404
450,原夢觀光農園民宿,秉持著料理可以改變、但最初的味道不能改變，將屬於自己的夢想及傳統味道傳承下去。,121.09002141481,24.014219805347
